מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
1,0,105,29/08/2025,"1,710,000 ₪",18058-25-33,דירה בבית קומות,4,חמישית,
2,0,128,27/08/2025,"2,500,000 ₪",18058-25-34,דירה בבית קומות,1,לא ידוע,
6,0,80,19/08/2025,"1,550,000 ₪",18058-25-35,דירה בבית קומות,3,שמינית,
8,0,120,18/08/2025,"2,040,000 ₪",18058-25-36,דירה בבית קומות,5,שביעית,
9,0,131,18/08/2025,"2,066,000 ₪",10525-6-37,דירה בבית קומות,6,שישית,
10,0,133,14/08/2025,"1,128,000 ₪",10525-6-39,דירה בבית קומות,6,שניה,
15,0,133,10/08/2025,"1,008,000 ₪",10525-6-41,דירה בבית קומות,5,ראשונה,
17,0,124,07/08/2025,"1,880,000 ₪",18058-25-37,דירה בבית קומות,5,שביעית,
19,0,101,05/08/2025,"836,000 ₪",10525-6-44,דירה בבית קומות,4,שלישית,
21,0,167,04/08/2025,"2,750,000 ₪",10525-6-46,דירה בבית קומות,6,לא ידוע,
23,0,142,31/07/2025,"2,980,000 ₪",10525-6-47,דירה בבית קומות,6,חמישית,
24,0,167,29/07/2025,"2,825,000 ₪",10525-6-49,דירה בבית קומות,6,לא ידוע,
26,0,77,28/07/2025,"662,000 ₪",10525-6-51,דירה בבית קומות,3,ראשונה,
27,0,122,27/07/2025,"1,979,000 ₪",10525-6-53,דירה בבית קומות,5,שביעית,
31,0,147,22/07/2025,"2,400,000 ₪",18057-7-1,דירה בבית קומות,5,שמינית,
32,0,120,21/07/2025,"1,760,000 ₪",18058-25-39,דירה בבית קומות,4,שניה,
33,0,108,20/07/2025,"1,860,000 ₪",18005-37-1,דירה בבית קומות,4,שניה,
34,0,58,20/07/2025,"584,000 ₪",18105-145-8,משרד,לא ידוע,שניה,
35,0,131,20/07/2025,"2,024,000 ₪",18058-25-42,דירה בבית קומות,6,שביעית,
36,0,100,20/07/2025,"1,804,000 ₪",10525-6-54,דירה בבית קומות,4,שש עשרה,
37,0,105,17/07/2025,"1,800,000 ₪",18058-25-43,דירה בבית קומות,4,חמישית,
41,0,101,14/07/2025,"836,000 ₪",10525-6-57,דירה בבית קומות,4,שניה,
42,0,108,14/07/2025,"1,860,000 ₪",18005-37-2,דירה בבית קומות,4,שלישית,
47,0,105,10/07/2025,"1,710,000 ₪",18058-25-45,דירה בבית קומות,4,רביעית,
48,0,131,10/07/2025,"1,118,000 ₪",10525-6-64,דירה בבית קומות,6,רביעית,
49,0,131,09/07/2025,"1,118,000 ₪",10525-6-66,דירה בבית קומות,6,ראשונה,
53,0,57,07/07/2025,"631,000 ₪",18105-145-9,משרד,לא ידוע,רביעית,
54,0,133,07/07/2025,"1,135,000 ₪",10525-6-67,דירה בבית קומות,6,תשיעית,
55,0,136,07/07/2025,"2,375,000 ₪",18058-25-46,דירה בבית קומות,5,שמינית,
59,0,77,03/07/2025,"656,000 ₪",10525-6-68,דירה בבית קומות,3,ראשונה,
65,0,124,30/06/2025,"1,900,000 ₪",18058-25-47,דירה בבית קומות,5,שישית,
66,0,101,30/06/2025,"852,000 ₪",10525-6-69,דירה בבית קומות,4,רביעית,
69,0,184,26/06/2025,"1,109,000 ₪",18105-145-10,משרד,לא ידוע,שמינית,
70,0,101,26/06/2025,"1,784,000 ₪",10525-6-84,דירה בבית קומות,4,שמינית,
73,0,133,26/06/2025,"2,066,000 ₪",18058-25-48,דירה בבית קומות,5.5,שביעית,
77,0,105,25/06/2025,"2,090,000 ₪",18058-25-50,דירה בבית קומות,4,שביעית,
78,0,101,25/06/2025,"854,000 ₪",10525-6-87,דירה בבית קומות,4,רביעית,
79,0,131,24/06/2025,"1,102,000 ₪",10525-6-95,דירה בבית קומות,6,שניה,
80,0,132,23/06/2025,"2,038,000 ₪",10525-6-101,דירה בבית קומות,6,שמינית,
81,0,105,23/06/2025,"1,730,000 ₪",18058-25-52,דירה בבית קומות,4,שביעית,
83,0,104,19/06/2025,"2,145,000 ₪",18057-7-2,דירה בבית קומות,4,לא ידוע,
85,0,122,15/06/2025,"1,039,000 ₪",10525-6-103,דירה בבית קומות,5,שניה,
87,0,101,12/06/2025,"851,000 ₪",10525-6-104,דירה בבית קומות,4,ראשונה,
91,0,133,11/06/2025,"1,102,000 ₪",10525-6-132,דירה בבית קומות,6,שמינית,
92,0,133,10/06/2025,"1,118,000 ₪",10525-6-162,דירה בבית קומות,6,שלישית,
93,0,101,10/06/2025,"853,689 ₪",10525-6-33,דירה בבית קומות,4,רביעית,
94,0,101,10/06/2025,"851,727 ₪",10525-6-32,דירה בבית קומות,4,חמישית,
95,0,78,10/06/2025,"669,768 ₪",10525-6-31,לא ידוע,3,לא ידוע,
96,0,133,10/06/2025,"1,127,718 ₪",10525-6-35,דירה בבית קומות,6,שביעית,
98,0,133,10/06/2025,"1,129,618 ₪",10525-6-36,לא ידוע,6,לא ידוע,
