מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
1,0,112,28/08/2025,"1,450,000 ₪",16760-22-25,דירה בבית קומות,4,שלישית,
2,0,135,28/08/2025,"1,835,000 ₪",16744-70-4,דירה בבית קומות,5,רביעית,
3,0,109,27/08/2025,"1,540,000 ₪",16681-96-10,דירה בבית קומות,4,חמישית,
14,0,142,17/08/2025,"1,850,000 ₪",16744-75-6,דירה בבית קומות,5,שניה,
15,0,116.9,17/08/2025,"1,570,000 ₪",16745-90-9,דירה בבית קומות,4,קומה 2,
21,0,108.69,11/08/2025,"1,415,000 ₪",16759-14-4,דירה בבית קומות,4,קומה 1,
22,0,92,11/08/2025,"1,400,000 ₪",16760-46-35,דירה בבית קומות,3,שלישית,
23,0,187,11/08/2025,"1,700,000 ₪",17772-85-40,דירה בבית קומות,6,חמישית,
26,0,115,08/08/2025,"1,470,000 ₪",16682-64-34,דירה בבית קומות,4,שישית,
28,0,147,07/08/2025,"2,600,000 ₪",16742-71-2,דירה בבית קומות,6,לא ידוע,
29,0,112.51,07/08/2025,"1,520,000 ₪",16660-152-8,דירה בבית קומות,4,קומה 2,
34,0,30,06/08/2025,"70,000 ₪",16709-166-61,חניה,לא ידוע,לא ידוע,
36,0,103,06/08/2025,"1,500,000 ₪",16660-5-10,דירה בבית קומות,4,רביעית,
37,0,154,06/08/2025,"1,580,000 ₪",16743-94-2,דירה בבית קומות,5,ראשונה,
45,0,107.5,04/08/2025,"1,525,000 ₪",16682-69-27,דירה בבית קומות,4,קומה 7,
47,0,92.25,04/08/2025,"1,170,000 ₪",16663-146-15,דירה בבית קומות,4,רביעית,
63,0,105,20/07/2025,"1,450,000 ₪",16682-69-20,דירה בבית קומות,4,קומה 5,
64,0,122.86,18/07/2025,"1,710,000 ₪",16759-13-12,דירה בבית קומות,5,קומה 6,
67,0,115.57,15/07/2025,"1,360,000 ₪",16708-86-136,דירה בבית קומות,4,קומה 8,
73,0,130,14/07/2025,"1,690,000 ₪",16760-46-36,דירה בבית קומות,5,שלישית,
75,0,130,13/07/2025,"1,690,000 ₪",16760-46-34,לא ידוע,5,שלישית,
76,0,620,11/07/2025,"1,500,000 ₪",17775-32-2,ללא תיכנון,לא ידוע,לא ידוע,
78,0,135,11/07/2025,"1,800,000 ₪",16744-70-5,דירה בבית קומות,5,חמישית,
79,0,114,10/07/2025,"1,500,000 ₪",16746-153-21,דירה בבית קומות,4,שניה,
80,0,111.25,10/07/2025,"1,350,000 ₪",16745-90-26,דירה בבית קומות,4,קומה 6,
81,0,135,10/07/2025,"1,800,000 ₪",16744-70-3,לא ידוע,5,חמישית,
83,0,186,09/07/2025,"1,700,000 ₪",17772-85-39,לא ידוע,6,חמישית,
90,0,104,08/07/2025,"1,470,000 ₪",17762-76-6,לא ידוע,4,רביעית,
93,0,166,06/07/2025,"2,040,000 ₪",16746-153-20,דירה בבית קומות,5,שביעית,
96,0,130,06/07/2025,"1,625,000 ₪",16744-63-7,דירה בבית קומות,5,שלישית,
107,0,130,01/07/2025,"1,400,000 ₪",16746-176-31,דירה בבית קומות,4,שניה,
109,0,130,30/06/2025,"1,400,000 ₪",16746-176-30,לא ידוע,4,שניה,
110,0,100,30/06/2025,"1,560,000 ₪",17772-85-41,דירה בבית קומות,4,לא ידוע,
111,0,233,30/06/2025,"2,050,000 ₪",16743-93-2,דירה בבית קומות,5,שביעית,
112,0,140,29/06/2025,"1,930,000 ₪",17013-48-47,לא ידוע,5,ראשונה,
114,0,135,29/06/2025,"1,740,000 ₪",16745-73-9,דירה בבית קומות,5,ראשונה,
115,0,135,28/06/2025,"1,740,000 ₪",16745-73-8,לא ידוע,5,ראשונה,
117,0,22.8,26/06/2025,"283,000 ₪",16697-75-56,משרד,לא ידוע,קומה 5,
130,0,112.51,22/06/2025,"1,400,000 ₪",16660-152-20,דירה בבית קומות,4,קומה 5,
131,0,100,22/06/2025,"1,448,000 ₪",17772-85-42,דירה בבית קומות,4,לא ידוע,
136,0,161,19/06/2025,"2,400,000 ₪",16742-95-3,דירה בבית קומות,5,חמישית,
138,0,75,18/06/2025,"1,480,000 ₪",17765-116-17,דירה בבית קומות,3,שניה,
139,0,80,18/06/2025,"1,450,000 ₪",16760-22-24,דירה בבית קומות,4,שמינית,
140,0,112.7,18/06/2025,"1,500,000 ₪",16683-65-32,דירה בבית קומות,4,קומה 1,
142,0,125,17/06/2025,"1,850,000 ₪",17766-121-4,דירה בבית קומות,5,לא ידוע,
143,0,158,17/06/2025,"1,575,000 ₪",16745-88-29,דירה בבית קומות,5,שניה,
146,0,125,16/06/2025,"1,850,000 ₪",17766-121-3,לא ידוע,5,לא ידוע,
149,0,127,12/06/2025,"1,620,000 ₪",16744-88-16,דירה בבית קומות,4,שניה,
158,0,54,11/06/2025,"400,000 ₪",16710-151-22,משרד,לא ידוע,שלישית,
159,0,104,11/06/2025,"944,000 ₪",16709-166-63,משרד,לא ידוע,ראשונה,
