מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
3,0,122,06/08/2025,"1,280,000 ₪",22868-147-4,דירה בבית קומות,5,ראשונה,
4,0,118,06/08/2025,"1,250,000 ₪",22868-154-3,דירה בבית קומות,5,שלישית,
5,0,122,05/08/2025,"605,000 ₪",22868-154-4,דירה בבית קומות,5,שישית,
6,0,122,31/07/2025,"1,270,000 ₪",22868-168-4,דירה בבית קומות,5,שישית,
8,0,142,24/07/2025,"1,870,000 ₪",22868-150-3,דירה בבית קומות,5,שביעית,
10,0,110,16/07/2025,"1,220,000 ₪",22868-150-4,דירה בבית קומות,4,שישית,
11,0,106,14/07/2025,"1,450,000 ₪",22868-150-5,דירה בבית קומות,4,לא ידוע,
13,0,135,09/07/2025,"1,550,000 ₪",22923-7-49,דירה בבית קומות,5,שישית,
14,0,110,07/07/2025,"1,200,000 ₪",22868-150-6,דירה בבית קומות,4,ראשונה,
16,0,125,02/07/2025,"706,000 ₪",22868-161-4,דירה בבית קומות,5,רביעית,
18,0,93.75,30/06/2025,"1,235,000 ₪",20986-10-44,דירה בבית קומות,4,קומה 1,
21,0,120,26/06/2025,"678,000 ₪",22868-161-5,דירה בבית קומות,4,חמישית,
22,0,120,25/06/2025,"678,933 ₪",22868-161-3,לא ידוע,4,חמישית,
23,0,97,24/06/2025,"1,640,000 ₪",23010-23-1,דירה בבית קומות,4,לא ידוע,
24,0,149,23/06/2025,"720,000 ₪",22868-161-6,דירה בבית קומות,5,שניה,
25,0,97,23/06/2025,"1,635,000 ₪",23010-24-1,דירה בבית קומות,4,לא ידוע,
26,0,125,19/06/2025,"675,000 ₪",22868-161-12,דירה בבית קומות,4,שישית,
28,0,169,18/06/2025,"1,700,000 ₪",22868-148-3,דירה בבית קומות,6,לא ידוע,
29,0,126,17/06/2025,"723,000 ₪",22868-161-18,דירה בבית קומות,5,שישית,
30,0,122,11/06/2025,"1,250,000 ₪",22868-168-5,דירה בבית קומות,5,ראשונה,
32,0,87,11/06/2025,"438,000 ₪",22868-155-2,דירה בבית קומות,3,חמישית,
38,0,125,29/05/2025,"1,300,000 ₪",20986-32-78,דירה בבית קומות,4,שלישית,
40,0,99,25/05/2025,"1,886,000 ₪",23010-21-1,קוטג' חד משפחתי,4,לא ידוע,
43,0,97,20/05/2025,"1,635,000 ₪",23010-23-2,דירה בבית קומות,4,לא ידוע,
45,0,97,20/05/2025,"1,450,000 ₪",23010-25-1,דירה בבית קומות,3,לא ידוע,
50,0,122,06/05/2025,"1,200,000 ₪",22868-154-5,דירה בבית קומות,5,שלישית,
51,0,97,04/05/2025,"1,695,000 ₪",23010-29-1,דירה בבית קומות,4,לא ידוע,
53,0,148,28/04/2025,"1,500,000 ₪",22868-166-2,דירת גג,5,לא ידוע,
57,0,122,21/04/2025,"1,300,000 ₪",22868-147-5,דירה בבית קומות,5,שישית,
59,0,87,10/04/2025,"436,000 ₪",22868-154-6,דירה בבית קומות,3,שביעית,
61,0,125,09/04/2025,"1,200,000 ₪",22868-147-6,דירה בבית קומות,5,רביעית,
62,0,163,06/04/2025,"1,700,000 ₪",22868-138-2,דירה בבית קומות,6,לא ידוע,
65,0,163,05/04/2025,"1,700,000 ₪",22868-138-1,לא ידוע,6,שלישית,
68,0,80,01/04/2025,"1,450,000 ₪",23010-22-1,קוטג' דו משפחתי,3,לא ידוע,
69,0,91,30/03/2025,"460,000 ₪",22868-167-3,דירה בבית קומות,3,שלישית,
70,0,581,26/03/2025,"600,000 ₪",20985-119-1,קרקע למגורים,לא ידוע,לא ידוע,
72,0,87,23/03/2025,"436,000 ₪",22868-154-7,דירה בבית קומות,3,שישית,
73,0,87,23/03/2025,"436,000 ₪",22868-155-3,דירה בבית קומות,3,שישית,
77,0,110,11/03/2025,"1,780,000 ₪",23010-21-2,דירה בבית קומות,4,לא ידוע,
79,0,89,10/03/2025,"448,000 ₪",22868-167-4,דירה בבית קומות,4,רביעית,
80,0,101,10/03/2025,"1,688,000 ₪",23010-24-3,דירה בבית קומות,4,לא ידוע,
81,0,87,10/03/2025,"443,000 ₪",22868-147-7,דירה בבית קומות,3,חמישית,
82,0,87,10/03/2025,"434,000 ₪",22868-154-8,דירה בבית קומות,3,שביעית,
83,0,87,10/03/2025,"434,000 ₪",22868-155-5,דירה בבית קומות,3,שישית,
84,0,171,09/03/2025,"1,780,000 ₪",22868-147-8,דירה בבית קומות,6,לא ידוע,
89,0,110,03/03/2025,"1,780,000 ₪",23010-19-1,דירה בבית קומות,4,לא ידוע,
90,0,101,03/03/2025,"1,680,000 ₪",23010-30-1,דירה בבית קומות,4,לא ידוע,
92,0,109,25/02/2025,"1,770,000 ₪",23010-28-1,דירה בבית קומות,4,לא ידוע,
95,0,99,23/02/2025,"1,890,000 ₪",23010-26-1,דירה בבית קומות,4,לא ידוע,
96,0,111,21/02/2025,"1,450,000 ₪",22868-148-5,דירה בבית קומות,4,לא ידוע,
