מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
2,0,80,28/08/2025,"1,640,000 ₪",18990-208-1,דירה בבית קומות,2.5,לא ידוע,
3,0,154,25/08/2025,"4,350,000 ₪",18991-41-50,קוטג' דו משפחתי,5,לא ידוע,
9,0,80,05/08/2025,"1,625,000 ₪",18990-208-2,דירה בבית קומות,2.5,ראשונה,
28,0,155.6,13/07/2025,"3,750,000 ₪",19874-106-1,דירה בבית קומות,6,"קרקע, ראשונה",
70,0,120,28/05/2025,"2,125,000 ₪",19071-3-1,דירה בבית קומות,4,לא ידוע,
95,0,222,06/05/2025,"3,500,000 ₪",19874-118-1,דירה בבית קומות,6,רביעית,
112,0,100,25/04/2025,"1,780,000 ₪",19875-3-45,דירה בבית קומות,3,ראשונה,
251,0,25,30/12/2024,"60,000 ₪",18982-33-16,חנות,לא ידוע,שניה,
323,0,237,01/11/2024,"3,200,000 ₪",18947-237-1,קוטג' חד משפחתי,5,ראשונה,
413,0,155,17/08/2024,"5,000,000 ₪",18991-41-49,לא ידוע,5,לא ידוע,
416,0,154,15/08/2024,"5,000,000 ₪",18991-41-51,קוטג' דו משפחתי,5,ראשונה,
417,0,105.37,15/08/2024,"2,750,000 ₪",18947-335-1,דירה בבית קומות,4,קומה 0,
425,0,2220,11/08/2024,"3,278,000 ₪",18982-469-1,ללא תיכנון,לא ידוע,לא ידוע,
478,0,372,28/06/2024,"1,587,000 ₪",19044-50-15,מגורים,לא ידוע,לא ידוע,
