מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
12,0,80,11/07/2025,"1,250,000 ₪",13805-9-1,דירה בבית קומות,3,לא ידוע,
13,0,80,11/07/2025,"1,250,000 ₪",13805-7-2,דירה בבית קומות,3,לא ידוע,
65,0,119,29/04/2025,"1,600,000 ₪",13805-7-4,דירה בבית קומות,4,רביעית,
81,0,119,03/04/2025,"1,584,000 ₪",13805-7-5,דירה בבית קומות,4,רביעית,
108,0,114,26/02/2025,"1,600,000 ₪",14084-34-19,דירה בבית קומות,4,שלישית,
121,0,124,05/02/2025,"1,625,000 ₪",13379-7-2,דירה בבית קומות,4,שניה,
128,0,189,22/01/2025,"2,245,000 ₪",13376-29-2,קוטג' חד משפחתי,7,ראשונה,
141,0,83,25/12/2024,"1,370,000 ₪",13397-29-18,דירה בבית קומות,3,לא ידוע,
230,0,73,28/08/2023,"400,000 ₪",13161-172-1,דירה בבית קומות,1,לא ידוע,
238,0,114,16/08/2023,"1,400,000 ₪",14084-34-18,דירה בבית קומות,4,שלישית,
247,0,60,03/08/2023,"2,500,000 ₪",13195-280-1,בית בודד,2,ראשונה,
285,0,104,18/06/2023,"1,560,000 ₪",13397-19-31,דירה בבית קומות,4,לא ידוע,
307,0,10209,24/05/2023,"192,000 ₪",13805-7-1,קרקע למגורים,לא ידוע,לא ידוע,
497,0,411,20/11/2022,"50,000 ₪",13805-18-1,קרקע למגורים,לא ידוע,לא ידוע,
498,0,450,20/11/2022,"58,000 ₪",13805-13-1,קרקע למגורים,לא ידוע,לא ידוע,
499,0,401,20/11/2022,"120,000 ₪",13805-17-1,קרקע למגורים,לא ידוע,לא ידוע,
500,0,902,20/11/2022,"247,000 ₪",13805-25-1,קרקע למגורים,לא ידוע,לא ידוע,
