מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
2,0,152,12/08/2025,"2,750,000 ₪",18428-1-75,דירה בבית קומות,5,לא ידוע,
3,0,170,04/08/2025,"1,440,000 ₪",18406-17-11,דירה בבית קומות,6,לא ידוע,
5,0,110,30/07/2025,"1,527,000 ₪",21217-21-6,דירה בבית קומות,4,ראשונה,
6,0,140,29/07/2025,"1,835,000 ₪",21090-13-48,דירה בבית קומות,5,ראשונה,
7,0,170,25/07/2025,"1,279,000 ₪",18406-17-12,דירה בבית קומות,6,לא ידוע,
12,0,124,14/07/2025,"1,807,000 ₪",21217-21-7,דירה בבית קומות,5,שישית,
17,0,153,26/06/2025,"2,267,000 ₪",21217-21-8,דירה בבית קומות,5,חמישית,
22,0,110,11/06/2025,"1,567,000 ₪",21217-21-12,דירה בבית קומות,4,חמישית,
32,0,82,21/05/2025,"1,337,000 ₪",21217-21-13,דירה בבית קומות,3,ראשונה,
33,0,134,21/05/2025,"2,150,000 ₪",18428-1-76,דירה בבית קומות,5,חמישית,
39,0,152,18/05/2025,"2,760,000 ₪",18428-1-77,דירה בבית קומות,5,לא ידוע,
50,0,124,29/04/2025,"1,562,000 ₪",21217-21-16,דירה בבית קומות,4,שישית,
51,0,124,28/04/2025,"1,802,360 ₪",21217-21-5,לא ידוע,5,שישית,
52,0,110,28/04/2025,"1,562,360 ₪",21217-21-4,לא ידוע,4,חמישית,
53,0,82,23/04/2025,"1,437,000 ₪",21217-21-19,דירה בבית קומות,3,שישית,
54,0,82,22/04/2025,"1,362,360 ₪",21217-21-2,לא ידוע,3,שישית,
55,0,82,22/04/2025,"1,437,360 ₪",21217-21-3,לא ידוע,3,שלישית,
64,0,142,02/04/2025,"1,813,000 ₪",21090-13-49,דירה בבית קומות,5,ראשונה,
69,0,110.35,24/03/2025,"1,370,000 ₪",21166-167-16,דירה בבית קומות,5,קומה 4,
87,0,142,04/03/2025,"1,820,000 ₪",21090-13-51,דירה בבית קומות,5,שלישית,
89,0,93.8,26/02/2025,"1,300,000 ₪",21166-91-8,דירה בבית קומות,4,קומה 4,
93,0,125,14/02/2025,"1,960,000 ₪",18428-1-74,דירה בבית קומות,5,ראשונה,
96,0,160,04/02/2025,"1,900,000 ₪",18406-17-13,דירה בבית קומות,6,לא ידוע,
100,0,134,23/01/2025,"2,130,000 ₪",18428-1-78,דירה בבית קומות,5,שלישית,
101,0,92.75,20/01/2025,"1,330,000 ₪",21166-167-17,דירה בבית קומות,4,קומה 4,
103,0,136,19/01/2025,"2,080,000 ₪",18428-1-79,דירה בבית קומות,5,שניה,
104,0,136,18/01/2025,"2,080,000 ₪",18428-1-73,לא ידוע,5,שניה,
109,0,145,30/12/2024,"2,030,000 ₪",21090-13-53,דירה בבית קומות,5,רביעית,
114,0,134,27/12/2024,"2,520,000 ₪",18428-1-80,דירה בבית קומות,5,שלישית,
115,0,131,26/12/2024,"2,600,000 ₪",18428-1-71,לא ידוע,5,לא ידוע,
116,0,134,26/12/2024,"2,720,000 ₪",18428-1-72,לא ידוע,5,שלישית,
118,0,132,25/12/2024,"1,900,000 ₪",18428-1-84,דירה בבית קומות,5,לא ידוע,
125,0,142,09/12/2024,"1,800,000 ₪",21090-13-54,דירה בבית קומות,5,שניה,
127,0,142,08/12/2024,"1,800,000 ₪",21090-13-47,לא ידוע,5,לא ידוע,
133,0,134,04/12/2024,"1,840,000 ₪",18428-1-85,דירה בבית קומות,5,רביעית,
135,0,134,03/12/2024,"1,840,000 ₪",18428-1-70,לא ידוע,5,שביעית,
139,0,125,20/11/2024,"1,850,000 ₪",18428-1-69,דירה בבית קומות,5,ראשונה,
145,0,149,07/11/2024,"2,400,000 ₪",21090-13-55,דירה בבית קומות,5,שלישית,
147,0,144,06/11/2024,"2,000,000 ₪",21090-13-46,לא ידוע,5,לא ידוע,
154,0,78,20/10/2024,"975,000 ₪",19442-4-1,דירה בבית קומות,3.5,שניה,
161,0,136,02/10/2024,"2,130,000 ₪",18428-1-86,דירה בבית קומות,5,שניה,
162,0,136,01/10/2024,"2,130,000 ₪",18428-1-68,לא ידוע,5,שניה,
166,0,136,27/09/2024,"2,230,000 ₪",18428-1-87,דירה בבית קומות,5,ראשונה,
169,0,113,24/09/2024,"1,620,000 ₪",21090-13-57,דירה בבית קומות,4,שניה,
172,0,113,23/09/2024,"1,620,000 ₪",21090-13-45,לא ידוע,4,לא ידוע,
177,0,2157,14/09/2024,"1,466,000 ₪",18405-7-1,קרקע למגורים,לא ידוע,לא ידוע,
179,0,113,10/09/2024,"1,700,000 ₪",21090-13-59,דירה בבית קומות,4,ראשונה,
186,0,113,29/08/2024,"1,450,000 ₪",21090-13-61,דירה בבית קומות,4,ראשונה,
188,0,113,28/08/2024,"1,450,000 ₪",21090-13-44,לא ידוע,4,לא ידוע,
189,0,38,27/08/2024,"200,000 ₪",18428-1-88,דירת נופש,2,ראשונה,
