מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
1,0,155.5,27/08/2025,"2,180,000 ₪",17448-165-18,דירה בבית קומות,5,רביעית,
4,0,127,11/08/2025,"2,090,000 ₪",17426-71-53,דירה בבית קומות,5,לא ידוע,
5,0,120,04/08/2025,"1,176,000 ₪",17426-71-54,דירה בבית קומות,5,ראשונה,
6,0,164,04/08/2025,"3,200,000 ₪",17009-49-1,דירה בבית קומות,5,לא ידוע,
8,0,120,31/07/2025,"1,199,000 ₪",17426-71-57,דירה בבית קומות,5,שניה,
9,0,109,29/07/2025,"1,906,000 ₪",17426-71-58,דירה בבית קומות,4,לא ידוע,
10,0,104,27/07/2025,"1,660,000 ₪",17426-71-59,דירה בבית קומות,4,רביעית,
15,0,145,08/07/2025,"2,370,000 ₪",17426-71-60,דירה בבית קומות,5,שביעית,
18,0,79,07/07/2025,"741,000 ₪",17426-71-61,דירה בבית קומות,3,שניה,
20,0,79,06/07/2025,"741,334 ₪",17426-71-51,לא ידוע,3,ראשונה,
21,0,104,06/07/2025,"1,176,582 ₪",17426-71-52,לא ידוע,5,שישית,
22,0,105,03/07/2025,"1,696,000 ₪",17426-71-65,דירה בבית קומות,4,שישית,
23,0,120,02/07/2025,"1,696,000 ₪",17426-71-50,לא ידוע,4,ראשונה,
24,0,112,01/07/2025,"1,062,000 ₪",17426-71-66,דירה בבית קומות,4,ראשונה,
27,0,112,30/06/2025,"1,062,581 ₪",17426-71-49,לא ידוע,4,לא ידוע,
28,0,120,24/06/2025,"1,193,000 ₪",17426-71-67,דירה בבית קומות,5,ראשונה,
29,0,120,23/06/2025,"1,193,397 ₪",17426-71-48,לא ידוע,5,לא ידוע,
32,0,120,12/06/2025,"1,196,000 ₪",17426-71-68,דירה בבית קומות,5,רביעית,
34,0,128,11/06/2025,"2,165,000 ₪",17426-71-70,דירה בבית קומות,5,לא ידוע,
35,0,105,11/06/2025,"962,072 ₪",17426-71-47,לא ידוע,4,לא ידוע,
36,0,128,10/06/2025,"2,165,000 ₪",17426-71-46,לא ידוע,5,חמישית,
39,0,81,09/06/2025,"770,000 ₪",17426-71-71,דירה בבית קומות,3,שניה,
40,0,105,08/06/2025,"962,072 ₪",17426-71-39,לא ידוע,4,לא ידוע,
41,0,120,08/06/2025,"1,215,817 ₪",17426-71-43,לא ידוע,5,ראשונה,
42,0,131,08/06/2025,"1,196,694 ₪",17426-71-42,לא ידוע,5,לא ידוע,
43,0,104,08/06/2025,"975,030 ₪",17426-71-41,לא ידוע,4,חמישית,
44,0,104,08/06/2025,"973,728 ₪",17426-71-40,לא ידוע,4,חמישית,
45,0,104,08/06/2025,"1,276,750 ₪",17426-71-44,לא ידוע,5,רביעית,
46,0,104,08/06/2025,"1,296,505 ₪",17426-71-45,לא ידוע,5,שישית,
47,0,81,08/06/2025,"770,542 ₪",17426-71-38,לא ידוע,3,לא ידוע,
48,0,80,08/06/2025,"741,334 ₪",17426-71-37,לא ידוע,3,לא ידוע,
49,0,127,05/06/2025,"1,176,000 ₪",17426-71-83,דירה בבית קומות,5,שלישית,
50,0,104,04/06/2025,"979,041 ₪",17426-71-34,לא ידוע,4,לא ידוע,
51,0,105,04/06/2025,"957,444 ₪",17426-71-33,לא ידוע,4,לא ידוע,
52,0,120,04/06/2025,"1,176,582 ₪",17426-71-35,לא ידוע,5,לא ידוע,
53,0,127,04/06/2025,"1,286,421 ₪",17426-71-36,לא ידוע,5,לא ידוע,
55,0,112,03/06/2025,"1,060,000 ₪",17426-71-89,דירה בבית קומות,4,ראשונה,
57,0,127,02/06/2025,"1,060,095 ₪",17426-71-32,לא ידוע,4,שניה,
58,0,120,29/05/2025,"1,193,000 ₪",17426-71-90,דירה בבית קומות,5,ראשונה,
59,0,158,29/05/2025,"2,931,000 ₪",17009-54-4,קוטג' דו משפחתי,6,לא ידוע,
60,0,145,28/05/2025,"1,193,397 ₪",17426-71-31,לא ידוע,5,שניה,
61,0,158,28/05/2025,"3,000,000 ₪",17009-53-2,לא ידוע,6,ראשונה,
62,0,158,28/05/2025,"2,925,000 ₪",17009-54-2,לא ידוע,6,ראשונה,
63,0,127,28/05/2025,"973,000 ₪",17426-71-91,דירה בבית קומות,4,חמישית,
65,0,127,27/05/2025,"1,286,366 ₪",17426-71-29,לא ידוע,5,לא ידוע,
66,0,80,27/05/2025,"1,650,000 ₪",17426-71-30,לא ידוע,4,רביעית,
67,0,105,27/05/2025,"973,248 ₪",17426-71-28,לא ידוע,4,לא ידוע,
70,0,104,25/05/2025,"1,696,000 ₪",17426-71-95,דירה בבית קומות,4,שישית,
72,0,105,24/05/2025,"1,696,000 ₪",17426-71-27,לא ידוע,4,חמישית,
77,0,112,15/05/2025,"1,062,000 ₪",17426-71-96,דירה בבית קומות,4,שלישית,
