מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
4,0,120,27/08/2025,"1,625,000 ₪",18161-192-79,דירה בבית קומות,4,שישית,
8,0,79,18/08/2025,"1,620,000 ₪",21209-17-10,דירה בבית קומות,3,אחת עשרה,
12,0,126,13/08/2025,"1,920,000 ₪",18146-523-2,דירה בבית קומות,5,שביעית,
13,0,79,12/08/2025,"1,620,000 ₪",21209-17-11,דירה בבית קומות,3,אחת עשרה,
15,0,168,12/08/2025,"1,830,000 ₪",19593-213-137,דירה בבית קומות,5,חמישית,
16,0,125,11/08/2025,"2,150,000 ₪",21209-17-12,דירה בבית קומות,5,אחת עשרה,
19,0,126,11/08/2025,"1,960,000 ₪",18146-523-3,דירה בבית קומות,5,שביעית,
20,0,106,10/08/2025,"1,874,000 ₪",19593-213-138,דירה בבית קומות,4,שמונה עשרה,
22,0,162,06/08/2025,"1,970,000 ₪",19593-116-206,דירה בבית קומות,5,אחת עשרה,
28,0,148,27/07/2025,"2,200,000 ₪",19593-30-3,דירה בבית קומות,5,שניה,
29,0,125,27/07/2025,"2,250,000 ₪",21209-17-13,דירה בבית קומות,5,חמש עשרה,
30,0,111,24/07/2025,"1,750,000 ₪",18146-523-4,דירה בבית קומות,4,שניה,
44,0,79,16/07/2025,"1,570,000 ₪",21209-17-14,דירה בבית קומות,3,עשירית,
45,0,128,16/07/2025,"1,860,000 ₪",19593-213-139,דירה בבית קומות,5,שניה,
47,0,128,15/07/2025,"1,860,000 ₪",19593-213-136,לא ידוע,5,שניה,
49,0,101.31,15/07/2025,"1,790,000 ₪",19593-108-68,דירה בבית קומות,4,קומה 3,
54,0,118,10/07/2025,"1,720,000 ₪",19592-160-3,דירה בבית קומות,4,רביעית,
57,0,205,10/07/2025,"2,400,000 ₪",19592-146-203,דירה בבית קומות,7,שישית,
63,0,111,07/07/2025,"1,900,000 ₪",19593-213-140,דירה בבית קומות,4,שמונה עשרה,
64,0,103,07/07/2025,"1,720,000 ₪",19593-213-135,דירה בבית קומות,4,רביעית,
65,0,125,07/07/2025,"2,360,000 ₪",21209-17-15,דירה בבית קומות,5,שמונה עשרה,
69,0,111,06/07/2025,"1,900,000 ₪",19593-213-134,לא ידוע,4,שמונה עשרה,
80,0,125,02/07/2025,"2,270,000 ₪",21209-17-16,דירה בבית קומות,5,שבע עשרה,
81,0,118,02/07/2025,"1,700,000 ₪",19592-160-4,דירה בבית קומות,4,שלישית,
92,0,125,26/06/2025,"2,190,000 ₪",21209-17-17,דירה בבית קומות,5,שתים עשרה,
93,0,89,26/06/2025,"1,285,000 ₪",18161-204-1,דירה בבית קומות,3,רביעית,
105,0,128,17/06/2025,"1,860,000 ₪",19593-213-141,דירה בבית קומות,5,חמישית,
106,0,128,16/06/2025,"1,860,000 ₪",19593-213-133,לא ידוע,5,חמישית,
107,0,95,16/06/2025,"1,500,000 ₪",19592-160-5,דירה בבית קומות,3,חמישית,
111,0,117,12/06/2025,"2,300,000 ₪",18146-519-16,דירה בבית קומות,4,לא ידוע,
120,0,113.51,09/06/2025,"1,930,000 ₪",18166-6-4,דירה בבית קומות,5,קומה 2,
126,0,126,05/06/2025,"2,450,000 ₪",18146-523-5,דירה בבית קומות,5,לא ידוע,
140,0,111,27/05/2025,"1,725,000 ₪",18146-523-6,דירה בבית קומות,4,שלישית,
143,0,121,27/05/2025,"2,825,000 ₪",18175-156-14,דירה בבית קומות,5,שביעית,
153,0,125.16,22/05/2025,"1,790,000 ₪",19593-107-4,דירה בבית קומות,5,קומה 1,
163,0,161,20/05/2025,"1,890,000 ₪",19593-116-204,דירה בבית קומות,5,חמישית,
175,0,111,12/05/2025,"1,730,000 ₪",18146-523-7,דירה בבית קומות,4,שלישית,
176,0,103,12/05/2025,"1,600,000 ₪",19593-213-142,דירה בבית קומות,4,ראשונה,
187,0,165,04/05/2025,"2,850,000 ₪",19593-116-203,דירה בבית קומות,5,חמש עשרה,
188,0,106,04/05/2025,"1,770,000 ₪",19593-213-143,דירה בבית קומות,4,שש עשרה,
191,0,106,03/05/2025,"1,770,000 ₪",19593-213-131,לא ידוע,4,שש עשרה,
193,0,123,29/04/2025,"2,035,000 ₪",19593-191-60,דירה בבית קומות,4,שניה,
201,0,136,27/04/2025,"1,945,000 ₪",19592-160-6,דירה בבית קומות,5,רביעית,
204,0,148,24/04/2025,"2,690,000 ₪",19593-192-21,דירה בבית קומות,6,שביעית,
207,0,148,23/04/2025,"2,690,000 ₪",19593-192-20,לא ידוע,6,שביעית,
220,0,128,10/04/2025,"1,930,000 ₪",19593-213-144,דירה בבית קומות,5,שלישית,
221,0,126,10/04/2025,"1,935,000 ₪",18146-523-8,דירה בבית קומות,5,ראשונה,
224,0,118,10/04/2025,"1,690,000 ₪",19592-160-7,דירה בבית קומות,4,רביעית,
225,0,125,10/04/2025,"2,100,000 ₪",21209-17-18,דירה בבית קומות,5,אחת עשרה,
227,0,128,09/04/2025,"1,930,000 ₪",19593-213-130,לא ידוע,5,שלישית,
