מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
3,0,128,25/08/2025,"1,526,000 ₪",16547-5-10,דירה בבית קומות,5,שמונה עשרה,
4,0,81,24/08/2025,"1,249,000 ₪",17395-19-359,דירה בבית קומות,3,לא ידוע,
15,0,172,04/08/2025,"3,625,000 ₪",16548-60-2,דירה בבית קומות,6,שביעית,
33,0,128,10/07/2025,"1,623,000 ₪",16548-60-3,דירה בבית קומות,5,חמישית,
47,0,84,02/07/2025,"1,740,000 ₪",16547-36-1,דירה בבית קומות,3,שביעית,
51,0,159,23/06/2025,"2,802,000 ₪",16936-232-398,דירה בבית קומות,5,שלישית,
53,0,159,22/06/2025,"2,800,000 ₪",16936-74-12,לא ידוע,5,שלישית,
60,0,159,09/06/2025,"2,982,000 ₪",16936-232-399,דירה בבית קומות,5,שניה,
73,0,159,27/05/2025,"2,792,000 ₪",16936-232-400,דירה בבית קומות,5,ראשונה,
78,0,39.6,23/05/2025,"1,040,000 ₪",17735-19-4,דירה בבית קומות,3,ראשונה,
87,0,95,20/05/2025,"1,373,000 ₪",17395-15-26,דירה בבית קומות,4,לא ידוע,
97,0,90,12/05/2025,"933,000 ₪",17395-14-29,דירה בבית קומות,4,שניה,
110,0,184,04/05/2025,"4,500,000 ₪",16547-5-25,דירה בבית קומות,6,עשרים וארבע,
115,0,154,02/05/2025,"2,742,000 ₪",16936-232-401,דירה בבית קומות,5,שלישית,
125,0,84,28/04/2025,"1,100,000 ₪",17395-19-358,דירה בבית קומות,4,לא ידוע,
129,0,76.23,25/04/2025,"1,170,000 ₪",17755-47-10,דירה בבית קומות,3.5,קרקע ושניה,
137,0,84,09/04/2025,"1,740,000 ₪",16547-36-2,דירה בבית קומות,3,שלוש עשרה,
138,0,126,08/04/2025,"2,350,000 ₪",16547-5-26,דירה בבית קומות,5,עשרים ושלוש,
155,0,154,26/03/2025,"2,782,000 ₪",16936-232-402,דירה בבית קומות,5,שלישית,
157,0,155,25/03/2025,"2,780,000 ₪",16936-232-397,לא ידוע,5,שלישית,
167,0,80,19/03/2025,"917,000 ₪",17471-28-1,דירה בבית קומות,3,שלישית,
171,0,106,16/03/2025,"1,700,000 ₪",16547-36-3,דירה בבית קומות,3,חמישית,
181,0,47,11/03/2025,"900,000 ₪",17733-21-19,דירה בבית קומות,3,קרקע,
189,0,78,06/03/2025,"1,250,000 ₪",17471-37-1,דירה בבית קומות,3,רביעית,
190,0,128,06/03/2025,"2,681,000 ₪",17395-15-27,דירה בבית קומות,5,לא ידוע,
204,0,159,26/02/2025,"2,762,000 ₪",16936-232-403,דירה בבית קומות,5,שלישית,
207,0,90,26/02/2025,"1,249,000 ₪",17395-19-357,דירה בבית קומות,4,שניה,
210,0,89,25/02/2025,"1,800,000 ₪",17395-15-28,דירה בבית קומות,4,לא ידוע,
211,0,155,25/02/2025,"2,760,000 ₪",16936-41-2,לא ידוע,5,שלישית,
213,0,126,23/02/2025,"2,057,580 ₪",16547-5-9,לא ידוע,5,ארבע עשרה,
214,0,184,23/02/2025,"4,100,000 ₪",16547-5-27,דירה בבית קומות,6,עשרים וארבע,
215,0,184,22/02/2025,"4,100,000 ₪",16547-5-8,לא ידוע,6,עשרים וארבע,
223,0,126,18/02/2025,"2,096,220 ₪",16547-5-7,לא ידוע,5,שמונה עשרה,
247,0,128,04/02/2025,"2,190,000 ₪",17395-15-29,דירה בבית קומות,5,לא ידוע,
255,0,121,31/01/2025,"3,052,000 ₪",16547-36-5,דירה בבית קומות,5,תשע עשרה,
257,0,128,30/01/2025,"1,515,000 ₪",16548-60-4,דירה בבית קומות,5,חמישית,
258,0,120,30/01/2025,"2,597,000 ₪",16547-36-10,דירה בבית קומות,5,שמונה עשרה,
271,0,120,23/01/2025,"2,086,000 ₪",16547-5-28,דירה בבית קומות,5,שמינית,
273,0,120,22/01/2025,"2,086,560 ₪",16547-5-6,לא ידוע,5,שמינית,
274,0,89,22/01/2025,"1,377,000 ₪",17395-15-30,דירה בבית קומות,4,לא ידוע,
276,0,128,21/01/2025,"1,530,000 ₪",16548-60-5,דירה בבית קומות,5,חמישית,
286,0,102,16/01/2025,"1,280,000 ₪",17395-19-356,דירה בבית קומות,4,ראשונה,
287,0,89,16/01/2025,"1,241,000 ₪",17395-15-31,דירה בבית קומות,3,ראשונה,
289,0,89,15/01/2025,"1,262,000 ₪",17395-15-33,דירה בבית קומות,4,לא ידוע,
290,0,89,14/01/2025,"1,321,000 ₪",17395-15-34,דירה בבית קומות,4,שלישית,
305,0,110,06/01/2025,"1,223,000 ₪",17395-14-30,דירה בבית קומות,4,לא ידוע,
309,0,128,31/12/2024,"1,667,000 ₪",17395-15-35,דירה בבית קומות,5,לא ידוע,
314,0,110,30/12/2024,"1,236,000 ₪",17395-14-32,דירה בבית קומות,4,לא ידוע,
315,0,100,29/12/2024,"1,058,000 ₪",17395-14-34,דירה בבית קומות,3.5,ראשונה,
316,0,128,29/12/2024,"1,510,000 ₪",16548-60-6,דירה בבית קומות,5,שביעית,
