מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
4,0,100,13/08/2025,"1,700,000 ₪",13675-153-43,דירה בבית קומות,4,חמישית,
6,0,292,10/08/2025,"2,400,000 ₪",13389-52-14,דירה בבית קומות,5,ראשונה,
12,0,77,04/08/2025,"1,020,000 ₪",13073-33-5,דירה בבית קומות,3,ראשונה,
16,0,122,22/07/2025,"1,780,000 ₪",13675-153-44,דירה בבית קומות,4,לא ידוע,
17,0,140,21/07/2025,"1,870,000 ₪",13675-153-42,לא ידוע,5,שניה,
18,0,122,21/07/2025,"1,780,000 ₪",13675-153-41,לא ידוע,4,לא ידוע,
19,0,135.9,20/07/2025,"1,790,000 ₪",13532-117-17,קוטג' דו משפחתי,5,קרקע וראשונה,
20,0,106,15/07/2025,"1,700,000 ₪",13389-52-15,דירה בבית קומות,4,שלישית,
25,0,82,10/07/2025,"2,150,000 ₪",13054-5-2,דירה בבית קומות,4,ראשונה,
33,0,100,26/06/2025,"1,380,000 ₪",13675-153-45,דירה בבית קומות,4,שביעית,
35,0,100,25/06/2025,"1,380,000 ₪",13675-153-40,לא ידוע,4,שביעית,
44,0,110,16/06/2025,"1,780,000 ₪",13093-6-3,דירה בבית קומות,5,רביעית,
47,0,101,10/06/2025,"2,185,000 ₪",13071-122-26,דירה בבית קומות,4,שלישית,
50,0,120,09/06/2025,"1,970,000 ₪",13675-153-46,דירה בבית קומות,5,שניה,
52,0,120,08/06/2025,"1,970,000 ₪",13675-153-39,לא ידוע,5,שניה,
54,0,123,05/06/2025,"1,900,000 ₪",13389-59-19,דירה בבית קומות,5,חמישית,
58,0,106,20/05/2025,"2,600,000 ₪",13071-122-27,דירה בבית קומות,4,לא ידוע,
59,0,98,20/05/2025,"2,200,000 ₪",13071-120-50,דירה בבית קומות,4,שלישית,
65,0,224,14/05/2025,"5,000,000 ₪",13531-70-1,דירה בבית קומות,7,לא ידוע,
66,0,117,13/05/2025,"1,700,000 ₪",13389-38-10,דירה בבית קומות,4,שניה,
68,0,99,12/05/2025,"1,700,000 ₪",13389-38-2,לא ידוע,4,שניה,
72,0,144,08/05/2025,"542,000 ₪",13068-16-1,מחסנים,לא ידוע,ראשונה,
80,0,102,10/04/2025,"1,833,000 ₪",13675-153-47,דירה בבית קומות,4,שישית,
83,0,102,09/04/2025,"1,833,000 ₪",13675-153-38,לא ידוע,4,שישית,
87,0,149,06/04/2025,"5,622,000 ₪",13070-27-11,דירה בבית קומות,5,לא ידוע,
90,0,120,03/04/2025,"1,790,000 ₪",13675-153-48,דירה בבית קומות,5,שישית,
94,0,120,02/04/2025,"1,790,000 ₪",13675-153-37,לא ידוע,5,שישית,
98,0,120,31/03/2025,"1,860,000 ₪",13675-153-50,דירה בבית קומות,5,שלישית,
99,0,110,30/03/2025,"1,600,000 ₪",13389-31-15,דירה בבית קומות,4,שניה,
101,0,120,30/03/2025,"1,860,000 ₪",13675-153-36,לא ידוע,5,שלישית,
102,0,110,30/03/2025,"2,086,000 ₪",13073-143-42,דירה בבית קומות,5,לא ידוע,
103,0,120,30/03/2025,"2,020,000 ₪",13675-153-51,דירה בבית קומות,5,שלישית,
104,0,120,29/03/2025,"2,020,000 ₪",13675-153-35,לא ידוע,5,שלישית,
105,0,102,29/03/2025,"1,600,000 ₪",13389-31-11,לא ידוע,4,שניה,
110,0,134,19/03/2025,"5,213,000 ₪",13070-27-12,דירה בבית קומות,5,לא ידוע,
112,0,118,17/03/2025,"4,915,000 ₪",13070-27-13,דירה בבית קומות,5,שניה,
118,0,100,11/03/2025,"450,000 ₪",13868-19-1,דירת גן,3,לא ידוע,
124,0,137,06/03/2025,"2,450,000 ₪",14674-22-13,דירה בבית קומות,6,רביעית,
126,0,118,05/03/2025,"4,728,000 ₪",13070-27-14,דירה בבית קומות,4,שלישית,
136,0,50,23/02/2025,"94,000 ₪",13063-11-1,דירה בבית קומות,1,לא ידוע,
139,0,200,19/02/2025,"5,000,000 ₪",13531-4-1,קוטג' דו משפחתי,6,לא ידוע,
155,0,107,05/02/2025,"1,770,000 ₪",13389-36-5,דירה בבית קומות,4,ראשונה,
156,0,107,04/02/2025,"1,770,000 ₪",13389-36-1,לא ידוע,4,ראשונה,
157,0,102,04/02/2025,"1,790,000 ₪",13675-153-52,דירה בבית קומות,4,רביעית,
161,0,140,26/01/2025,"2,980,000 ₪",13056-115-1,קוטג' חד משפחתי,5,לא ידוע,
162,0,65,23/01/2025,"1,960,000 ₪",13964-84-2,קוטג' חד משפחתי,3,ראשונה,
164,0,741,22/01/2025,"1,200,000 ₪",13529-15-2,קרקע למגורים,לא ידוע,לא ידוע,
174,0,149,14/01/2025,"2,984,000 ₪",13071-122-28,דירה בבית קומות,6,ראשונה,
175,0,116.58,12/01/2025,"3,430,000 ₪",13697-33-1,דירה בבית קומות,5,קרקע וראשונה,
178,0,129,08/01/2025,"4,913,000 ₪",13070-27-15,דירה בבית קומות,5,תשיעית,
