מספר סידורי,כתובת,"שטח במ""ר",תאריך העסקה,מחיר העסקה,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,מגמת שינוי
2,0,91,31/08/2025,"1,455,000 ₪",15759-260-6,דירה בבית קומות,4,שניה,
3,0,92,31/08/2025,"1,469,000 ₪",15759-258-24,דירה בבית קומות,4,שלישית,
4,0,121,28/08/2025,"1,917,000 ₪",15759-260-7,דירה בבית קומות,5,שניה,
8,0,91,20/08/2025,"1,431,000 ₪",15759-258-25,דירה בבית קומות,4,רביעית,
9,0,92,20/08/2025,"1,408,000 ₪",15759-260-8,דירה בבית קומות,4,חמישית,
14,0,92,17/08/2025,"1,446,000 ₪",15759-259-21,דירה בבית קומות,4,שניה,
15,0,85,17/08/2025,"735,000 ₪",15034-55-7,דירה בבית קומות,3,לא ידוע,
16,0,71,17/08/2025,"738,000 ₪",15350-174-77,דירה בבית קומות,3,שניה,
21,0,80,11/08/2025,"1,337,000 ₪",15759-260-9,דירה בבית קומות,3,רביעית,
22,0,80,11/08/2025,"1,399,000 ₪",15759-258-26,דירה בבית קומות,3,שלישית,
24,0,92,10/08/2025,"1,356,000 ₪",15759-260-10,דירה בבית קומות,4,רביעית,
26,0,95,07/08/2025,"1,536,000 ₪",15759-260-12,דירה בבית קומות,4,שניה,
27,0,122,07/08/2025,"1,923,000 ₪",15759-258-27,דירה בבית קומות,5,שניה,
28,0,91,06/08/2025,"1,391,000 ₪",15759-260-13,דירה בבית קומות,4,חמישית,
29,0,92,06/08/2025,"1,469,000 ₪",15759-259-22,דירה בבית קומות,4,שלישית,
33,0,109,05/08/2025,"850,000 ₪",15034-41-3,דירה בבית קומות,4,ראשונה,
41,0,115,24/07/2025,"3,124,000 ₪",15061-31-1,דירה בבית קומות,4,חמישית,
46,0,107,23/07/2025,"2,842,000 ₪",15046-30-2,דירה בבית קומות,4,חמישית,
48,0,117,23/07/2025,"1,570,000 ₪",15172-5-35,דירה בבית קומות,4,שישית,
52,0,115,21/07/2025,"3,150,000 ₪",15046-30-3,דירה בבית קומות,5,לא ידוע,
55,0,116,20/07/2025,"1,061,000 ₪",15350-174-78,דירה בבית קומות,4,שלישית,
56,0,121,20/07/2025,"1,889,000 ₪",15759-258-28,דירה בבית קומות,5,שלישית,
60,0,119,19/07/2025,"1,061,008 ₪",15350-174-76,לא ידוע,4,שלישית,
63,0,95,16/07/2025,"1,504,000 ₪",15759-259-23,דירה בבית קומות,4,רביעית,
65,0,119,15/07/2025,"1,061,000 ₪",15350-174-79,דירה בבית קומות,4,שניה,
71,0,119,14/07/2025,"1,061,008 ₪",15350-174-75,לא ידוע,4,שניה,
80,0,95,10/07/2025,"1,564,000 ₪",15759-259-25,דירה בבית קומות,4,ראשונה,
82,0,74,09/07/2025,"1,981,000 ₪",15061-31-2,דירה בבית קומות,3,ראשונה,
83,0,105,09/07/2025,"2,060,000 ₪",15046-30-4,דירה בבית קומות,3,שניה,
88,0,122,08/07/2025,"1,895,000 ₪",15759-261-5,דירה בבית קומות,5,שניה,
89,0,96,07/07/2025,"2,562,000 ₪",15046-30-6,דירה בבית קומות,4,שישית,
94,0,76,03/07/2025,"2,059,000 ₪",15046-30-7,דירה בבית קומות,3,לא ידוע,
96,0,126,03/07/2025,"1,925,000 ₪",15004-10-2,דירה בבית קומות,4,קרקע,
99,0,122,30/06/2025,"1,846,000 ₪",15759-261-6,דירה בבית קומות,5,רביעית,
100,0,122,30/06/2025,"1,848,000 ₪",15759-268-5,דירה בבית קומות,5,שניה,
103,0,122,29/06/2025,"1,848,456 ₪",15759-268-4,לא ידוע,5,שניה,
104,0,92,29/06/2025,"1,436,000 ₪",15759-258-29,דירה בבית קומות,4,רביעית,
105,0,122,29/06/2025,"1,846,610 ₪",15759-261-4,לא ידוע,5,רביעית,
106,0,95,29/06/2025,"1,579,000 ₪",15759-260-14,דירה בבית קומות,4,ראשונה,
109,0,92,28/06/2025,"1,436,068 ₪",15759-258-22,לא ידוע,4,רביעית,
110,0,95,28/06/2025,"1,579,918 ₪",15759-260-5,לא ידוע,4,ראשונה,
122,0,95,22/06/2025,"1,530,000 ₪",15759-259-26,דירה בבית קומות,4,שניה,
123,0,95,21/06/2025,"1,530,555 ₪",15759-259-9,לא ידוע,4,שניה,
125,0,76,18/06/2025,"2,080,000 ₪",15046-30-8,דירה בבית קומות,3,שניה,
126,0,122,17/06/2025,"1,860,000 ₪",15759-268-6,דירה בבית קומות,5,שלישית,
129,0,122,16/06/2025,"1,860,738 ₪",15759-268-2,לא ידוע,5,שלישית,
131,0,147,15/06/2025,"1,100,000 ₪",15165-49-1,חנות,לא ידוע,לא ידוע,
140,0,121,11/06/2025,"1,888,000 ₪",15759-260-15,דירה בבית קומות,5,ראשונה,
143,0,119,10/06/2025,"1,061,000 ₪",15350-174-80,דירה בבית קומות,4,שניה,
145,0,121,10/06/2025,"1,888,860 ₪",15759-260-1,לא ידוע,5,ראשונה,
